,average_offensiveness,created_on,hateful_meaning,is_about_class,is_about_disability,is_about_ethnicity,is_about_gender,is_about_nationality,is_about_religion,is_about_sexual_orientation,is_unambiguous,is_unambiguous_in,language,nonhateful_meaning,number_of_sightings,number_of_sightings_this_month,number_of_sightings_this_year,plural_of,term,transliteration_of,updated_on,variant_of,vocabulary_id
39,,2018-11-01 19:39:09,A homosexual male,False,False,False,True,False,False,True,False,,por,,0,0,0,,Bambi,,2018-11-01 19:39:09,,bFGLhEnNq
40,,2018-11-01 19:39:09,Gay or effeminiate; a sissy,False,False,False,True,False,False,True,False,,por,,505,32,403,,boiolas,,2018-11-01 19:39:09,,Fm8TnFeRT
41,51.0,2017-10-09 16:39:15,"Tornar algo muito extravagante, colorido, diferenciado",False,False,False,False,True,False,False,False,,por,,524,43,409,,baianagem,,2017-10-09 16:39:15,,UMAaBcTj4
42,,2017-10-09 16:35:28,Male homosexual,False,False,False,False,False,False,True,False,,por,,359,31,294,,bichona,,2017-10-09 16:35:28,bicha,wVV6gkxHN
43,60.0,2016-03-28 22:12:35,A male homosexual,False,False,True,False,False,False,True,False,,por,,84,6,51,,Viado,,2016-03-28 22:12:35,,4DK3aUDq7
44,,2016-03-28 21:59:24,A homosexual,False,False,False,False,False,False,True,False,,por,A shoe,255,18,255,,sapatão,,2016-03-28 21:59:24,,8TGrHwM67
45,,2016-03-28 20:32:32,Male homosexual,False,False,False,False,False,False,True,False,,por,,52,2,37,,Baitola,,2016-03-28 20:32:32,boiola,v8hb4kF6Y
46,65.0,2016-03-28 20:31:27,A male homosexual,False,False,False,False,False,False,True,False,,por,,1154,38,440,,boiola,,2016-03-28 20:31:27,,jBeRf9Bxy
47,50.0,2014-02-16 00:39:51,A Brazilian indigenous Indian,False,False,True,False,False,False,False,False,,por,,222,23,138,,bugre,,2014-02-16 00:39:51,,A97TG6nZV
48,,2013-06-07 13:31:21,"In São Tomé and Príncipe, refers to descendants of Portuguese colonists and African slaves. Translates as ""children of the land"".",False,False,True,False,False,False,False,False,,por,,54,2,34,,filhos da terra,,2013-06-07 13:31:21,,JZPPBW7Uu
49,,2013-06-07 13:27:38,"[1] In Brazil, a person of mixed indigenous and European parentage. [2] In Africa and Asia, any person of mixed parentage.",False,False,True,False,False,False,False,False,,por,,277,2,29,,mameluco,,2013-06-07 13:27:38,mestico,vjeWeX22N
50,27.0,2013-06-07 13:25:43,"[1] In Brazil, a person of mixed indigenous and European parentage. [2] In Africa and Asia, any person of mixed parentage.",False,False,True,False,False,False,False,False,,por,,5,0,1,,mestico,,2013-06-07 13:25:43,,884BPyKGB
51,55.0,2013-06-07 13:04:43,[1] Brazilian word for a person of mixed indigenous and European parentage. [2] Can also denote a culturally assimilated person of full Amerindian descent.,False,False,True,False,False,False,False,False,,por,,477,21,273,,caboclo,,2013-06-07 13:04:43,,zRfUpqwT8
52,,2013-06-07 13:04:43,[1] Brazilian word for a person of mixed indigenous and European parentage. [2] Can also denote a culturally assimilated person of full Amerindian descent.,False,False,True,False,False,False,False,False,,por,,1044,60,534,,caboco,,2013-06-07 13:04:43,caboclo,BBa2cKbZa
53,,2013-06-07 12:59:24,"A person of mixed indigenous and African parentage. Similar origins as Spanish word ""zambo"".",False,False,True,False,False,False,False,False,BR,por,,794,4,81,,cafuzo,,2013-06-07 12:59:24,,U7rwHNNdr
54,,2013-04-20 15:40:06,Male homosexual,False,False,False,False,False,False,True,False,,por,,157,9,54,,biba,,2013-04-20 15:40:06,,gPq4zUthm
55,,2013-04-09 18:21:09,Male homosexual,False,False,False,False,False,False,True,False,BR,por,,6755,37,347,,bichinha,,2013-04-09 18:21:09,bicha,uWqXmJ2xG
56,,2013-04-09 04:00:00,Male homosexual,False,False,False,False,False,False,True,False,BR,por,,6511,34,351,,bicha,,2013-04-09 04:00:00,,w8WC92N7y
57,,2013-04-06 13:50:40,"In Brazil, an offensive nickname for non-Iberian, mostly Italian immigrants. derives from the venezian word 'Carcamanu'.",False,False,True,False,True,False,False,False,BR,por,,1910,9,240,,carcamano,,2013-04-06 13:50:40,,UyN3K7RMk
